,Date,Team,PTS, ,Opp,OT
37,"Wed, Sep 4, 2019",Argentina,61,First Round,Russia,
38,"Wed, Sep 4, 2019",Iran,73,First Round,Spain,
39,"Wed, Sep 4, 2019",China,72,First Round,Venezuela,
40,"Thu, Sep 5, 2019",Montenegro,84,First Round,Brazil,
41,"Thu, Sep 5, 2019",Senegal,82,First Round,Canada,
42,"Thu, Sep 5, 2019",France,56,First Round,Dominican Republic,
43,"Thu, Sep 5, 2019",Jordan,96,First Round,Germany,
44,"Thu, Sep 5, 2019",New Zealand,103,First Round,Greece,
45,"Thu, Sep 5, 2019",Australia,82,First Round,Lithuania,
46,"Thu, Sep 5, 2019",Czech Republic,76,First Round,Turkey,
47,"Thu, Sep 5, 2019",Japan,98,First Round,United States,
48,"Fri, Sep 6, 2019",Iran,62,Classification,Angola,
49,"Fri, Sep 6, 2019",Venezuela,87,Second Round,Argentina,
50,"Fri, Sep 6, 2019",Korea,77,Classification,China,
51,"Fri, Sep 6, 2019",Ivory Coast,83,Classification,Nigeria,
52,"Fri, Sep 6, 2019",Russia,79,Second Round,Poland,
53,"Fri, Sep 6, 2019",Puerto Rico,90,Second Round,Serbia,
54,"Fri, Sep 6, 2019",Italy,67,Second Round,Spain,
55,"Fri, Sep 6, 2019",Philippines,86,Classification,Tunisia,
56,"Sat, Sep 7, 2019",Dominican Republic,82,Second Round,Australia,
57,"Sat, Sep 7, 2019",Czech Republic,71,Second Round,Brazil,
58,"Sat, Sep 7, 2019",Jordan,126,Classification,Canada,
59,"Sat, Sep 7, 2019",Lithuania,78,Second Round,France,
60,"Sat, Sep 7, 2019",Senegal,89,Classification,Germany,
61,"Sat, Sep 7, 2019",Japan,111,Classification,New Zealand,
62,"Sat, Sep 7, 2019",Montenegro,79,Classification,Turkey,
63,"Sat, Sep 7, 2019",Greece,69,Second Round,United States,
64,"Sun, Sep 8, 2019",Nigeria,73,Classification,China,
65,"Sun, Sep 8, 2019",Philippines,95,Classification,Iran,
66,"Sun, Sep 8, 2019",Korea,71,Classification,Ivory Coast,
67,"Sun, Sep 8, 2019",Argentina,65,Second Round,Poland,
68,"Sun, Sep 8, 2019",Italy,89,Second Round,Puerto Rico,
69,"Sun, Sep 8, 2019",Serbia,81,Second Round,Spain,
70,"Sun, Sep 8, 2019",Angola,86,Classification,Tunisia,
71,"Sun, Sep 8, 2019",Russia,60,Second Round,Venezuela,
72,"Mon, Sep 9, 2019",Greece,77,Second Round,Czech Republic,
73,"Mon, Sep 9, 2019",Lithuania,55,Second Round,Dominican Republic,
74,"Mon, Sep 9, 2019",Australia,98,Second Round,France,
75,"Mon, Sep 9, 2019",Canada,82,Classification,Germany,
76,"Mon, Sep 9, 2019",Montenegro,65,Classification,Japan,
77,"Mon, Sep 9, 2019",Senegal,79,Classification,Jordan,
78,"Mon, Sep 9, 2019",New Zealand,101,Classification,Turkey,
79,"Mon, Sep 9, 2019",Brazil,89,Second Round,United States,
80,"Tue, Sep 10, 2019",Serbia,97,Knockout Stage,Argentina,
81,"Tue, Sep 10, 2019",Poland,90,Knockout Stage,Spain,
82,"Wed, Sep 11, 2019",Czech Republic,82,Knockout Stage,Australia,
83,"Wed, Sep 11, 2019",France,79,Knockout Stage,United States,
84,"Thu, Sep 12, 2019",Czech Republic,84,Placement,Poland,
85,"Thu, Sep 12, 2019",United States,94,Placement,Serbia,
86,"Fri, Sep 13, 2019",France,80,Knockout Stage,Argentina,
87,"Fri, Sep 13, 2019",Australia,95,Knockout Stage,Spain,
88,"Sat, Sep 14, 2019",Czech Republic,90,Placement,Serbia,
89,"Sat, Sep 14, 2019",Poland,87,Placement,United States,
90,"Sun, Sep 15, 2019",Spain,75,Knockout Stage,Argentina,
91,"Sun, Sep 15, 2019",Australia,67,Knockout Stage,France,
