year,id,country,date,tournament_stage,mp,fg,fga,x3p,x3pa,ft,fta,orb,trb,ast,stl,blk,tov,pf,pts,results,mov,fg_p,x3P_p,ft_p,tsa,ts_p,efg_p,tov_p
2012,2012080833,spain,2012-08-08,Quarter-Finals,199,21,56,4,20,20,29,7,39,12,4,3,13,17,66,W,7,0.375,0.2,0.6896551724137931,68.76,0.47993019197207676,0.4107142857142857,15.900195694716242
2012,2012081034,argentina,2012-08-10,Semi-Finals,199,31,70,11,26,10,11,6,23,21,2,1,9,17,83,L,26,0.44285714285714284,0.4230769230769231,0.9090909090909091,74.84,0.5545163014430785,0.5214285714285715,10.73473282442748
2012,2012081034,united states,2012-08-10,Semi-Finals,200,43,81,18,42,5,7,13,40,25,5,5,10,18,109,W,26,0.5308641975308642,0.42857142857142855,0.7142857142857143,84.08,0.6481921979067555,0.6419753086419753,10.629251700680273
2012,2012081035,russia,2012-08-10,Semi-Finals,199,23,61,7,27,6,12,7,30,15,5,3,13,22,59,L,8,0.3770491803278688,0.25925925925925924,0.5,66.28,0.44508147254073627,0.4344262295081967,16.39757820383451
2012,2012081035,spain,2012-08-10,Semi-Finals,200,21,56,9,23,16,22,8,34,15,5,4,10,19,67,W,8,0.375,0.391304347826087,0.7272727272727273,65.68,0.5100487210718635,0.45535714285714285,13.21353065539112
2012,2012081236,argentina,2012-08-12,Final Round,200,27,61,13,33,10,13,5,24,17,10,1,11,19,77,L,4,0.4426229508196721,0.3939393939393939,0.7692307692307693,66.72,0.5770383693045563,0.5491803278688525,14.153371075656201
2012,2012081236,russia,2012-08-12,Final Round,200,28,55,9,23,16,20,6,30,14,6,3,15,13,81,W,4,0.509090909090909,0.391304347826087,0.8,63.8,0.6347962382445141,0.5909090909090909,19.03553299492386
2012,2012081237,spain,2012-08-12,Final Round,201,33,67,7,19,27,32,9,33,22,4,1,11,27,100,L,7,0.4925373134328358,0.3684210526315789,0.84375,81.08,0.61667488899852,0.5447761194029851,11.946133796698524
2012,2012081237,united states,2012-08-12,Final Round,201,34,70,15,37,24,31,12,36,13,7,1,10,27,107,W,7,0.4857142857142857,0.40540540540540543,0.7741935483870968,83.64,0.6396461023433764,0.5928571428571429,10.679196924391286
2014,201408300,argentina,2014-08-30,Group Play,200,34,66,10,27,20,29,5,38,22,2,1,10,25,98,W,23,0.5151515151515151,0.37037037037037035,0.6896551724137931,78.76,0.622143219908583,0.5909090909090909,11.266336187471833
2014,201408300,puerto rico,2014-08-30,Group Play,200,26,66,8,23,15,20,6,32,5,3,1,12,26,75,L,23,0.3939393939393939,0.34782608695652173,0.75,74.8,0.5013368983957219,0.45454545454545453,13.824884792626728
2014,201408301,brazil,2014-08-30,Group Play,201,23,61,5,16,14,24,12,35,9,8,2,10,21,65,W,2,0.3770491803278688,0.3125,0.5833333333333334,71.56,0.45416433761878144,0.4180327868852459,12.260912211868563
2014,201408301,france,2014-08-30,Group Play,200,22,52,6,19,13,16,4,30,9,5,4,16,23,63,L,2,0.4230769230769231,0.3157894736842105,0.8125,59.04,0.5335365853658537,0.4807692307692308,21.321961620469086
2014,201408302,dominican-republic,2014-08-30,Group Play,200,24,64,7,27,7,14,12,37,13,4,2,17,22,62,L,10,0.375,0.25925925925925924,0.5,70.16,0.4418472063854048,0.4296875,19.50435979807251
2014,201408302,ukraine,2014-08-30,Group Play,200,22,51,10,23,18,26,6,31,11,6,1,17,18,72,W,10,0.43137254901960786,0.43478260869565216,0.6923076923076923,62.44,0.5765534913516976,0.5294117647058824,21.399798590130917
